ACT_STOP_STN|NEW_TRIP_NAME|SERVICE_DATE|PLN_STN_ARRV_TIME|ACT_STN_ARRV_TIME|PLN_STN_DPRT_TIME|ACT_STN_DPRT_TIME|SEGMENT_DIRECTION|TRIP_NAME|SERVICE_TYPE|SERVICE_LINE|TRIP_ZONE|ORIG_STN|DEST_STN|LEAD_SET_NUMBER|LEAD_SET_TYPE|NODE_SEQ_ORDER|ACT_STOP_NODE|REPORTING_LINE|ACT_STN_DPRT_TIME_BAND|ACT_STN_ARRV_TIME_BAND|CARD_TYPE|SEAT_CAPACITY|OCCUPANCY_RANGE
Circular Quay|1--A-JOINED|2020-10-09 00:00:00|2020-10-09 05:22:00|2020-10-09 05:22:00|2020-10-09 05:22:30|2020-10-09 05:22:02|Down|1--B||T2 Inner West & Leppington Line||Central|Leppington||B|4|CCQ1|Leppington|05:15-05:29|05:15-05:29|Adult|896|0-20
Circular Quay|1--A-JOINED|2020-10-09 00:00:00|2020-10-09 05:22:00|2020-10-09 05:22:00|2020-10-09 05:22:30|2020-10-09 05:22:02|Down|1--B||T2 Inner West & Leppington Line||Central|Leppington||B|4|CCQ1|Leppington|05:15-05:29|05:15-05:29|All card types|896|0-20
Circular Quay|1--A-JOINED|2020-10-09 00:00:00|2020-10-09 05:22:00|2020-10-09 05:22:00|2020-10-09 05:22:30|2020-10-09 05:22:02|Down|1--B||T2 Inner West & Leppington Line||Central|Leppington||B|4|CCQ1|Leppington|05:15-05:29|05:15-05:29|CTP|896|0-20
Circular Quay|1--A-JOINED|2020-10-09 00:00:00|2020-10-09 05:22:00|2020-10-09 05:22:00|2020-10-09 05:22:30|2020-10-09 05:22:02|Down|1--B||T2 Inner West & Leppington Line||Central|Leppington||B|4|CCQ1|Leppington|05:15-05:29|05:15-05:29|Child/Youth|896|0-20
Circular Quay|1--A-JOINED|2020-10-09 00:00:00|2020-10-09 05:22:00|2020-10-09 05:22:00|2020-10-09 05:22:30|2020-10-09 05:22:02|Down|1--B||T2 Inner West & Leppington Line||Central|Leppington||B|4|CCQ1|Leppington|05:15-05:29|05:15-05:29|Concession|896|0-20
Circular Quay|1--A-JOINED|2020-10-09 00:00:00|2020-10-09 05:22:00|2020-10-09 05:22:00|2020-10-09 05:22:30|2020-10-09 05:22:02|Down|1--B||T2 Inner West & Leppington Line||Central|Leppington||B|4|CCQ1|Leppington|05:15-05:29|05:15-05:29|Day Pass Child/Youth w/o SAF|896|0-20
Circular Quay|1--A-JOINED|2020-10-09 00:00:00|2020-10-09 05:22:00|2020-10-09 05:22:00|2020-10-09 05:22:30|2020-10-09 05:22:02|Down|1--B||T2 Inner West & Leppington Line||Central|Leppington||B|4|CCQ1|Leppington|05:15-05:29|05:15-05:29|Day Pass Child/Youth with SAF|896|0-20
Circular Quay|1--A-JOINED|2020-10-09 00:00:00|2020-10-09 05:22:00|2020-10-09 05:22:00|2020-10-09 05:22:30|2020-10-09 05:22:02|Down|1--B||T2 Inner West & Leppington Line||Central|Leppington||B|4|CCQ1|Leppington|05:15-05:29|05:15-05:29|Day Pass Child/Youth without SAF|896|0-20
Circular Quay|1--A-JOINED|2020-10-09 00:00:00|2020-10-09 05:22:00|2020-10-09 05:22:00|2020-10-09 05:22:30|2020-10-09 05:22:02|Down|1--B||T2 Inner West & Leppington Line||Central|Leppington||B|4|CCQ1|Leppington|05:15-05:29|05:15-05:29|Day Pass with SAF|896|0-20
Circular Quay|1--A-JOINED|2020-10-09 00:00:00|2020-10-09 05:22:00|2020-10-09 05:22:00|2020-10-09 05:22:30|2020-10-09 05:22:02|Down|1--B||T2 Inner West & Leppington Line||Central|Leppington||B|4|CCQ1|Leppington|05:15-05:29|05:15-05:29|Day Pass without SAF|896|0-20
